cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
ja143 ka4chi2=an4 ña4 si'4i2=ra1 ji'4in4=ra2 ndi4,▁ja 143 ▁ka 4 chi 2= an 4 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁ndi 4,▁ja 143 ▁ka 4 chi 2= an 4 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁ndi 4,ja143ka4chi2 an4ña4si'4i2 ra1ji'4in4 ra2ndi4,▁ j a 1 4 3 ▁ k a 4 c h i 2 = a n 4 ▁ ñ a 4 ▁ s i ' 4 i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 2 ▁ n d i 4
"ya1 chi1tun3 ni1-i3xa3=ra2 ji'4in(4)=un4 ndi4, mi3i4 ba3=ra2 ku4u4 ta1 nda13ba(3)=e2 kan4 ji'4in4","▁ya 1 ▁chi 1 tun 3 ▁ni 1- i 3 xa 3= ra 2 ▁ji '4 in (4)= un 4 ▁ndi 4, ▁mi 3 i 4 ▁ba 3= ra 2 ▁ku 4 u 4 ▁ta 1 ▁nda 13 ba (3)= e 2 ▁kan 4 ▁ji '4 in 4","▁ya 1 ▁chi 1 tun 3 ▁ni 1- i 3 xa 3= ra 2 ▁ji '4 in (4)= un 4 ▁ndi 4, ▁mi 3 i 4 ▁ba 3= ra 2 ▁ku 4 u 4 ▁ta 1 ▁nda 1 3 ba (3)= e 2 ▁kan 4 ▁ji '4 in 4","ya1chi1tun3ni1i3xa3 ra2ji'4in(4) un4ndi4,mi3i4ba3 ra2ku4u4ta1nda13ba(3) e2kan4ji'4in4","▁ y a 1 ▁ c h i 1 t u n 3 ▁ n i 1 - i 3 x a 3 = r a 2 ▁ j i ' 4 i n ( 4 ) = u n 4 ▁ n d i 4 , ▁ m i 3 i 4 ▁ b a 3 = r a 2 ▁ k u 4 u 4 ▁ t a 1 ▁ n d a 1 3 b a ( 3 ) = e 2 ▁ k a n 4 ▁ j i ' 4 i n 4"
"tan3 yo'4o1 ndi4 ya1 ba'1a3 ni1-i3xa3=ra2 ji'4in(4)=un4 a1chi1 ndi4, ya1 ba'1a3 ndo13ko3o4=ra2 nda'3a(4)=on4","▁tan 3 ▁yo '4 o 1 ▁ndi 4 ▁ya 1 ▁ba '1 a 3 ▁ni 1- i 3 xa 3= ra 2 ▁ji '4 in (4)= un 4 ▁a 1 chi 1 ▁ndi 4, ▁ya 1 ▁ba '1 a 3 ▁ndo 13 ko 3 o 4= ra 2 ▁nda '3 a (4)= on 4","▁tan 3 ▁yo '4 o 1 ▁ndi 4 ▁ya 1 ▁ba '1 a 3 ▁ni 1- i 3 xa 3= ra 2 ▁ji '4 in (4)= un 4 ▁a 1 chi 1 ▁ndi 4, ▁ya 1 ▁ba '1 a 3 ▁ndo 1 3 ko 3 o 4= ra 2 ▁nda '3 a (4)= on 4","tan3yo'4o1ndi4ya1ba'1a3ni1i3xa3 ra2ji'4in(4) un4a1chi1ndi4,ya1ba'1a3ndo13ko3o4 ra2nda'3a(4) on4","▁ t a n 3 ▁ y o ' 4 o 1 ▁ n d i 4 ▁ y a 1 ▁ b a ' 1 a 3 ▁ n i 1 - i 3 x a 3 = r a 2 ▁ j i ' 4 i n ( 4 ) = u n 4 ▁ a 1 c h i 1 ▁ n d i 4 , ▁ y a 1 ▁ b a ' 1 a 3 ▁ n d o 1 3 k o 3 o 4 = r a 2 ▁ n d a ' 3 a ( 4 ) = o n 4"
"tan3 nda4a2, nda4a2 ba42 ni1-ndo1o3 ta1 chi1tun3 bi3tin3 ni1-ka3chi2 ña4 si'4i2=ra1 ji'4in4=ra2 chi1, nda4a2 ba42 ni1-ndo1o3 ta1 chi1tun3 tin3","▁tan 3 ▁nda 4 a 2, ▁nda 4 a 2 ▁ba 42 ▁ni 1- ndo 1 o 3 ▁ta 1 ▁chi 1 tun 3 ▁bi 3 tin 3 ▁ni 1- ka 3 chi 2 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁chi 1, ▁nda 4 a 2 ▁ba 42 ▁ni 1- ndo 1 o 3 ▁ta 1 ▁chi 1 tun 3 ▁tin 3","▁tan 3 ▁nda 4 a 2, ▁nda 4 a 2 ▁ba 4 2 ▁ni 1- ndo 1 o 3 ▁ta 1 ▁chi 1 tun 3 ▁bi 3 tin 3 ▁ni 1- ka 3 chi 2 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁chi 1, ▁nda 4 a 2 ▁ba 4 2 ▁ni 1- ndo 1 o 3 ▁ta 1 ▁chi 1 tun 3 ▁tin 3","tan3nda4a2,nda4a2ba42ni1ndo1o3ta1chi1tun3bi3tin3ni1ka3chi2ña4si'4i2 ra1ji'4in4 ra2chi1,nda4a2ba42ni1ndo1o3ta1chi1tun3tin3","▁ t a n 3 ▁ n d a 4 a 2 , ▁ n d a 4 a 2 ▁ b a 4 2 ▁ n i 1 - n d o 1 o 3 ▁ t a 1 ▁ c h i 1 t u n 3 ▁ b i 3 t i n 3 ▁ n i 1 - k a 3 c h i 2 ▁ ñ a 4 ▁ s i ' 4 i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 2 ▁ c h i 1 , ▁ n d a 4 a 2 ▁ b a 4 2 ▁ n i 1 - n d o 1 o 3 ▁ t a 1 ▁ c h i 1 t u n 3 ▁ t i n 3"
"sa3kan4, sa3kan4 ni1-xi'1i1=ra1 ndi4, ya1 chi1tun3=ra2 ba42","▁sa 3 kan 4, ▁sa 3 kan 4 ▁ni 1- xi '1 i 1= ra 1 ▁ndi 4, ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ba 42","▁sa 3 kan 4, ▁sa 3 kan 4 ▁ni 1- xi '1 i 1= ra 1 ▁ndi 4, ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ba 4 2","sa3kan4,sa3kan4ni1xi'1i1 ra1ndi4,ya1chi1tun3 ra2ba42","▁ s a 3 k a n 4 , ▁ s a 3 k a n 4 ▁ n i 1 - x i ' 1 i 1 = r a 1 ▁ n d i 4 , ▁ y a 1 ▁ c h i 1 t u n 3 = r a 2 ▁ b a 4 2"
"tan3 ya1 chi1tun3=ra2 ña1a4 ndo13ko3o4=ra2 ji'4in(4)=un4 bi3tin3 ndi4, ya1 ka1a3 ni1-ndo1o3 ji'4in(4)=un4","▁tan 3 ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ña 1 a 4 ▁ndo 13 ko 3 o 4= ra 2 ▁ji '4 in (4)= un 4 ▁bi 3 tin 3 ▁ndi 4, ▁ya 1 ▁ka 1 a 3 ▁ni 1- ndo 1 o 3 ▁ji '4 in (4)= un 4","▁tan 3 ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ña 1 a 4 ▁ndo 1 3 ko 3 o 4= ra 2 ▁ji '4 in (4)= un 4 ▁bi 3 tin 3 ▁ndi 4, ▁ya 1 ▁ka 1 a 3 ▁ni 1- ndo 1 o 3 ▁ji '4 in (4)= un 4","tan3ya1chi1tun3 ra2ña1a4ndo13ko3o4 ra2ji'4in(4) un4bi3tin3ndi4,ya1ka1a3ni1ndo1o3ji'4in(4) un4","▁ t a n 3 ▁ y a 1 ▁ c h i 1 t u n 3 = r a 2 ▁ ñ a 1 a 4 ▁ n d o 1 3 k o 3 o 4 = r a 2 ▁ j i ' 4 i n ( 4 ) = u n 4 ▁ b i 3 t i n 3 ▁ n d i 4 , ▁ y a 1 ▁ k a 1 a 3 ▁ n i 1 - n d o 1 o 3 ▁ j i ' 4 i n ( 4 ) = u n 4"
"ni1-ka3chi2 ña4 si'4i2=ra1 ji'4in4=ra2 ndi4 ni1-ndi3xa2a2 xu'14un4 kum3pa4ri2=ra1 ji'4in4=ra2 tan3, i3kan4 ni1-ndi'3i3 ba3 ji'4in4 ta1 nda'4bi2 ña1a4","▁ni 1- ka 3 chi 2 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁ndi 4 ▁ni 1- ndi 3 xa 2 a 2 ▁xu '14 un 4 ▁kum 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 2 ▁tan 3, ▁i 3 kan 4 ▁ni 1- ndi '3 i 3 ▁ba 3 ▁ji '4 in 4 ▁ta 1 ▁nda '4 bi 2 ▁ña 1 a 4","▁ni 1- ka 3 chi 2 ▁ña 4 ▁si '4 i 2= ra 1 ▁ji '4 in 4= ra 2 ▁ndi 4 ▁ni 1- ndi 3 xa 2 a 2 ▁xu '1 4 un 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 2 ▁tan 3, ▁i 3 kan 4 ▁ni 1- ndi '3 i 3 ▁ba 3 ▁ji '4 in 4 ▁ta 1 ▁nda '4 bi 2 ▁ña 1 a 4","ni1ka3chi2ña4si'4i2 ra1ji'4in4 ra2ndi4ni1ndi3xa2a2xu'14un4kum3pa4ri2 ra1ji'4in4 ra2tan3,i3kan4ni1ndi'3i3ba3ji'4in4ta1nda'4bi2ña1a4","▁ n i 1 - k a 3 c h i 2 ▁ ñ a 4 ▁ s i ' 4 i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 2 ▁ n d i 4 ▁ n i 1 - n d i 3 x a 2 a 2 ▁ x u ' 1 4 u n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 2 ▁ t a n 3 , ▁ i 3 k a n 4 ▁ n i 1 - n d i ' 3 i 3 ▁ b a 3 ▁ j i ' 4 i n 4 ▁ t a 1 ▁ n d a ' 4 b i 2 ▁ ñ a 1 a 4"
ya1 kan4 ndi4 ko14o(3)=a2 i3in3 ki1bi4 ba'1a3 ko3ndo(3)=e4 na1 chi1tun3 ka4chi2=na1 ta4u3ni2 ndi4,▁ya 1 ▁kan 4 ▁ndi 4 ▁ko 14 o (3)= a 2 ▁i 3 in 3 ▁ki 1 bi 4 ▁ba '1 a 3 ▁ko 3 ndo (3)= e 4 ▁na 1 ▁chi 1 tun 3 ▁ka 4 chi 2= na 1 ▁ta 4 u 3 ni 2 ▁ndi 4,▁ya 1 ▁kan 4 ▁ndi 4 ▁ko 1 4 o (3)= a 2 ▁i 3 in 3 ▁ki 1 bi 4 ▁ba '1 a 3 ▁ko 3 ndo (3)= e 4 ▁na 1 ▁chi 1 tun 3 ▁ka 4 chi 2= na 1 ▁ta 4 u 3 ni 2 ▁ndi 4,ya1kan4ndi4ko14o(3) a2i3in3ki1bi4ba'1a3ko3ndo(3) e4na1chi1tun3ka4chi2 na1ta4u3ni2ndi4,▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ k o 1 4 o ( 3 ) = a 2 ▁ i 3 i n 3 ▁ k i 1 b i 4 ▁ b a ' 1 a 3 ▁ k o 3 n d o ( 3 ) = e 4 ▁ n a 1 ▁ c h i 1 t u n 3 ▁ k a 4 c h i 2 = n a 1 ▁ t a 4 u 3 n i 2 ▁ n d i 4
"ya1 chi1tun3 ndi4 ya1 ba'14a4 ba42 kan4 a3sa(3)=e4 ji'4in4 ya3ni2 ta'4an4 yo4o4 tan3, i3kan4 jo13ndo3 ndi'3i3 ba(3)=e2 tan3 ni1-ndi'3i3 ba3 ji'4in4 ta1 chi1tun3","▁ya 1 ▁chi 1 tun 3 ▁ndi 4 ▁ya 1 ▁ba '14 a 4 ▁ba 42 ▁kan 4 ▁a 3 sa (3)= e 4 ▁ji '4 in 4 ▁ya 3 ni 2 ▁ta '4 an 4 ▁yo 4 o 4 ▁tan 3, ▁i 3 kan 4 ▁jo 13 ndo 3 ▁ndi '3 i 3 ▁ba (3)= e 2 ▁tan 3 ▁ni 1- ndi '3 i 3 ▁ba 3 ▁ji '4 in 4 ▁ta 1 ▁chi 1 tun 3","▁ya 1 ▁chi 1 tun 3 ▁ndi 4 ▁ya 1 ▁ba '1 4 a 4 ▁ba 4 2 ▁kan 4 ▁a 3 sa (3)= e 4 ▁ji '4 in 4 ▁ya 3 ni 2 ▁ta '4 an 4 ▁yo 4 o 4 ▁tan 3, ▁i 3 kan 4 ▁jo 1 3 ndo 3 ▁ndi '3 i 3 ▁ba (3)= e 2 ▁tan 3 ▁ni 1- ndi '3 i 3 ▁ba 3 ▁ji '4 in 4 ▁ta 1 ▁chi 1 tun 3","ya1chi1tun3ndi4ya1ba'14a4ba42kan4a3sa(3) e4ji'4in4ya3ni2ta'4an4yo4o4tan3,i3kan4jo13ndo3ndi'3i3ba(3) e2tan3ni1ndi'3i3ba3ji'4in4ta1chi1tun3","▁ y a 1 ▁ c h i 1 t u n 3 ▁ n d i 4 ▁ y a 1 ▁ b a ' 1 4 a 4 ▁ b a 4 2 ▁ k a n 4 ▁ a 3 s a ( 3 ) = e 4 ▁ j i ' 4 i n 4 ▁ y a 3 n i 2 ▁ t a ' 4 a n 4 ▁ y o 4 o 4 ▁ t a n 3 , ▁ i 3 k a n 4 ▁ j o 1 3 n d o 3 ▁ n d i ' 3 i 3 ▁ b a ( 3 ) = e 2 ▁ t a n 3 ▁ n i 1 - n d i ' 3 i 3 ▁ b a 3 ▁ j i ' 4 i n 4 ▁ t a 1 ▁ c h i 1 t u n 3"
Constantino Teodoro Bautista. Cuarenta y nueve. Yoloxóchitl na3ni4 ñu3u2=yu1.,▁Constantino ▁Teodoro ▁Bautista . ▁Cuarenta ▁y ▁nueve . ▁Yoloxóchitl ▁na 3 ni 4 ▁ñu 3 u 2= yu 1.,▁Constantino ▁Teodoro ▁Bautista . ▁C uarenta ▁y ▁nueve . ▁Yoloxóchitl ▁na 3 ni 4 ▁ñu 3 u 2= yu 1.,ConstantinoTeodoroBautista.Cuarentaynueve.Yoloxóchitlna3ni4ñu3u2 yu1.,▁ C o n s t a n t i n o ▁ T e o d o r o ▁ B a u t i s t a . ▁ C u a r e n t a ▁ y ▁ n u e v e . ▁ Y o l o x ó c h i t l ▁ n a 3 n i 4 ▁ ñ u 3 u 2 = y u 1 .
Nda3tu'4un4 lu3chi'4i2=un4 ji'4in4=ndu2 sa1a3 i4xa3 na1 ja4chiu4un4 xa14ku'1u1.,▁Nda 3 tu '4 un 4 ▁lu 3 chi '4 i 2= un 4 ▁ji '4 in 4= ndu 2 ▁sa 1 a 3 ▁i 4 xa 3 ▁na 1 ▁ja 4 chiu 4 un 4 ▁xa 14 ku '1 u 1.,▁Nda 3 tu '4 un 4 ▁lu 3 chi '4 i 2= un 4 ▁ji '4 in 4= ndu 2 ▁sa 1 a 3 ▁i 4 xa 3 ▁na 1 ▁ja 4 chiu 4 un 4 ▁xa 1 4 ku '1 u 1.,Nda3tu'4un4lu3chi'4i2 un4ji'4in4 ndu2sa1a3i4xa3na1ja4chiu4un4xa14ku'1u1.,▁ N d a 3 t u ' 4 u n 4 ▁ l u 3 c h i ' 4 i 2 = u n 4 ▁ j i ' 4 i n 4 = n d u 2 ▁ s a 1 a 3 ▁ i 4 x a 3 ▁ n a 1 ▁ j a 4 c h i u 4 u n 4 ▁ x a 1 4 k u ' 1 u 1 .
Ya1 i4xa3=na2 chi3ñu3 chi'4i4=na2 i3tu2 nda1 sa1a3 xa'1a4=e2 nda1 mi4i4 ta4ba4=na2 ku'1u1 an4 ku'1u1 ja'4nda2=na1 an4 ya1ma4 ka4ni3=na2 tan3 ki3xa3a4=na2 chi'3i3=na2 tan3,▁Ya 1 ▁i 4 xa 3= na 2 ▁chi 3 ñu 3 ▁chi '4 i 4= na 2 ▁i 3 tu 2 ▁nda 1 ▁sa 1 a 3 ▁xa '1 a 4= e 2 ▁nda 1 ▁mi 4 i 4 ▁ta 4 ba 4= na 2 ▁ku '1 u 1 ▁an 4 ▁ku '1 u 1 ▁ja '4 nda 2= na 1 ▁an 4 ▁ya 1 ma 4 ▁ka 4 ni 3= na 2 ▁tan 3 ▁ki 3 xa 3 a 4= na 2 ▁chi '3 i 3= na 2 ▁tan 3,▁Ya 1 ▁i 4 xa 3= na 2 ▁chi 3 ñu 3 ▁chi '4 i 4= na 2 ▁i 3 tu 2 ▁nda 1 ▁sa 1 a 3 ▁xa '1 a 4= e 2 ▁nda 1 ▁mi 4 i 4 ▁ta 4 ba 4= na 2 ▁ku '1 u 1 ▁an 4 ▁ku '1 u 1 ▁ja '4 nda 2= na 1 ▁an 4 ▁ya 1 ma 4 ▁ka 4 ni 3= na 2 ▁tan 3 ▁ki 3 xa 3 a 4= na 2 ▁chi '3 i 3= na 2 ▁tan 3,Ya1i4xa3 na2chi3ñu3chi'4i4 na2i3tu2nda1sa1a3xa'1a4 e2nda1mi4i4ta4ba4 na2ku'1u1an4ku'1u1ja'4nda2 na1an4ya1ma4ka4ni3 na2tan3ki3xa3a4 na2chi'3i3 na2tan3,▁ Y a 1 ▁ i 4 x a 3 = n a 2 ▁ c h i 3 ñ u 3 ▁ c h i ' 4 i 4 = n a 2 ▁ i 3 t u 2 ▁ n d a 1 ▁ s a 1 a 3 ▁ x a ' 1 a 4 = e 2 ▁ n d a 1 ▁ m i 4 i 4 ▁ t a 4 b a 4 = n a 2 ▁ k u ' 1 u 1 ▁ a n 4 ▁ k u ' 1 u 1 ▁ j a ' 4 n d a 2 = n a 1 ▁ a n 4 ▁ y a 1 m a 4 ▁ k a 4 n i 3 = n a 2 ▁ t a n 3 ▁ k i 3 x a 3 a 4 = n a 2 ▁ c h i ' 3 i 3 = n a 2 ▁ t a n 3
"sa1a3 i4xa3=na2 ta4ba4=na2 ku'1u(1)=a1 an4 ta1tan4 chi4ka2=na1 nu14u(3)=a3, nda1 mi4i4 kwa'1an1 tan3 xu4xa(3)=e2 ku4u(4)=a2 ndi3xi4 tan3 sa1a3 chi4chi3 xi4tu3=na2 xa'1a4=e2 an4 ko14o3 sa1a3 chi4chi3 chi4ka2=na1 ta1tan4 xa'1a4=e2 tan3","▁sa 1 a 3 ▁i 4 xa 3= na 2 ▁ta 4 ba 4= na 2 ▁ku '1 u (1)= a 1 ▁an 4 ▁ta 1 tan 4 ▁chi 4 ka 2= na 1 ▁nu 14 u (3)= a 3, ▁nda 1 ▁mi 4 i 4 ▁kwa '1 an 1 ▁tan 3 ▁xu 4 xa (3)= e 2 ▁ku 4 u (4)= a 2 ▁ndi 3 xi 4 ▁tan 3 ▁sa 1 a 3 ▁chi 4 chi 3 ▁xi 4 tu 3= na 2 ▁xa '1 a 4= e 2 ▁an 4 ▁ko 14 o 3 ▁sa 1 a 3 ▁chi 4 chi 3 ▁chi 4 ka 2= na 1 ▁ta 1 tan 4 ▁xa '1 a 4= e 2 ▁tan 3","▁sa 1 a 3 ▁i 4 xa 3= na 2 ▁ta 4 ba 4= na 2 ▁ku '1 u (1)= a 1 ▁an 4 ▁ta 1 tan 4 ▁chi 4 ka 2= na 1 ▁nu 1 4 u (3)= a 3, ▁nda 1 ▁mi 4 i 4 ▁kwa '1 an 1 ▁tan 3 ▁xu 4 xa (3)= e 2 ▁ku 4 u (4)= a 2 ▁ndi 3 xi 4 ▁tan 3 ▁sa 1 a 3 ▁chi 4 chi 3 ▁xi 4 tu 3= na 2 ▁xa '1 a 4= e 2 ▁an 4 ▁ko 1 4 o 3 ▁sa 1 a 3 ▁chi 4 chi 3 ▁chi 4 ka 2= na 1 ▁ta 1 tan 4 ▁xa '1 a 4= e 2 ▁tan 3","sa1a3i4xa3 na2ta4ba4 na2ku'1u(1) a1an4ta1tan4chi4ka2 na1nu14u(3) a3,nda1mi4i4kwa'1an1tan3xu4xa(3) e2ku4u(4) a2ndi3xi4tan3sa1a3chi4chi3xi4tu3 na2xa'1a4 e2an4ko14o3sa1a3chi4chi3chi4ka2 na1ta1tan4xa'1a4 e2tan3","▁ s a 1 a 3 ▁ i 4 x a 3 = n a 2 ▁ t a 4 b a 4 = n a 2 ▁ k u ' 1 u ( 1 ) = a 1 ▁ a n 4 ▁ t a 1 t a n 4 ▁ c h i 4 k a 2 = n a 1 ▁ n u 1 4 u ( 3 ) = a 3 , ▁ n d a 1 ▁ m i 4 i 4 ▁ k w a ' 1 a n 1 ▁ t a n 3 ▁ x u 4 x a ( 3 ) = e 2 ▁ k u 4 u ( 4 ) = a 2 ▁ n d i 3 x i 4 ▁ t a n 3 ▁ s a 1 a 3 ▁ c h i 4 c h i 3 ▁ x i 4 t u 3 = n a 2 ▁ x a ' 1 a 4 = e 2 ▁ a n 4 ▁ k o 1 4 o 3 ▁ s a 1 a 3 ▁ c h i 4 c h i 3 ▁ c h i 4 k a 2 = n a 1 ▁ t a 1 t a n 4 ▁ x a ' 1 a 4 = e 2 ▁ t a n 3"
"o4ra2 ni1-xa1a(1)=e1 ko3ndo(3)=a2 ni3i4 tan3 sa1a3 ku4u4 nda4-ta'1nu1 tan3 sa1a3 ku4u4 nda4-ka1ya(1)=e1 o4ra2 nda4-ka1ya(1)=e1 nda4a2 yo1o4 nda4-ka1ya(1)=e1 chi1, tan3 sa1a3 nu14u3 nu1ni4 i4yo2 chi'4i4 na1 ñu3u2 kan4 chi2.","▁o 4 ra 2 ▁ni 1- xa 1 a (1)= e 1 ▁ko 3 ndo (3)= a 2 ▁ni 3 i 4 ▁tan 3 ▁sa 1 a 3 ▁ku 4 u 4 ▁nda 4- ta '1 nu 1 ▁tan 3 ▁sa 1 a 3 ▁ku 4 u 4 ▁nda 4- ka 1 ya (1)= e 1 ▁o 4 ra 2 ▁nda 4- ka 1 ya (1)= e 1 ▁nda 4 a 2 ▁yo 1 o 4 ▁nda 4- ka 1 ya (1)= e 1 ▁chi 1, ▁tan 3 ▁sa 1 a 3 ▁nu 14 u 3 ▁nu 1 ni 4 ▁i 4 yo 2 ▁chi '4 i 4 ▁na 1 ▁ñu 3 u 2 ▁kan 4 ▁chi 2.","▁o 4 ra 2 ▁ni 1- xa 1 a (1)= e 1 ▁ko 3 ndo (3)= a 2 ▁ni 3 i 4 ▁tan 3 ▁sa 1 a 3 ▁ku 4 u 4 ▁nda 4- ta '1 nu 1 ▁tan 3 ▁sa 1 a 3 ▁ku 4 u 4 ▁nda 4- ka 1 ya (1)= e 1 ▁o 4 ra 2 ▁nda 4- ka 1 ya (1)= e 1 ▁nda 4 a 2 ▁yo 1 o 4 ▁nda 4- ka 1 ya (1)= e 1 ▁chi 1, ▁tan 3 ▁sa 1 a 3 ▁nu 1 4 u 3 ▁nu 1 ni 4 ▁i 4 yo 2 ▁chi '4 i 4 ▁na 1 ▁ñu 3 u 2 ▁kan 4 ▁chi 2.","o4ra2ni1xa1a(1) e1ko3ndo(3) a2ni3i4tan3sa1a3ku4u4nda4ta'1nu1tan3sa1a3ku4u4nda4ka1ya(1) e1o4ra2nda4ka1ya(1) e1nda4a2yo1o4nda4ka1ya(1) e1chi1,tan3sa1a3nu14u3nu1ni4i4yo2chi'4i4na1ñu3u2kan4chi2.","▁ o 4 r a 2 ▁ n i 1 - x a 1 a ( 1 ) = e 1 ▁ k o 3 n d o ( 3 ) = a 2 ▁ n i 3 i 4 ▁ t a n 3 ▁ s a 1 a 3 ▁ k u 4 u 4 ▁ n d a 4 - t a ' 1 n u 1 ▁ t a n 3 ▁ s a 1 a 3 ▁ k u 4 u 4 ▁ n d a 4 - k a 1 y a ( 1 ) = e 1 ▁ o 4 r a 2 ▁ n d a 4 - k a 1 y a ( 1 ) = e 1 ▁ n d a 4 a 2 ▁ y o 1 o 4 ▁ n d a 4 - k a 1 y a ( 1 ) = e 1 ▁ c h i 1 , ▁ t a n 3 ▁ s a 1 a 3 ▁ n u 1 4 u 3 ▁ n u 1 n i 4 ▁ i 4 y o 2 ▁ c h i ' 4 i 4 ▁ n a 1 ▁ ñ u 3 u 2 ▁ k a n 4 ▁ c h i 2 ."
"Ya1 ñu3u2=e4 kan4 ndi4 na4tu2 ku'1u1 ba42 ndi4 sa3kan4 ndi4, ya1kan3, a1chi1 febreru marzo ka1a3 ndi4 ja1, ja1 xi13tu3 ndi'3i3 ba3=na2 xa'1a4 i3tun4,","▁Ya 1 ▁ñu 3 u 2= e 4 ▁kan 4 ▁ndi 4 ▁na 4 tu 2 ▁ku '1 u 1 ▁ba 42 ▁ndi 4 ▁sa 3 kan 4 ▁ndi 4, ▁ya 1 kan 3, ▁a 1 chi 1 ▁febreru ▁marzo ▁ka 1 a 3 ▁ndi 4 ▁ja 1, ▁ja 1 ▁xi 13 tu 3 ▁ndi '3 i 3 ▁ba 3= na 2 ▁xa '1 a 4 ▁i 3 tun 4,","▁Ya 1 ▁ñu 3 u 2= e 4 ▁kan 4 ▁ndi 4 ▁na 4 tu 2 ▁ku '1 u 1 ▁ba 4 2 ▁ndi 4 ▁sa 3 kan 4 ▁ndi 4, ▁ya 1 kan 3, ▁a 1 chi 1 ▁febrer u ▁marzo ▁ka 1 a 3 ▁ndi 4 ▁ja 1, ▁ja 1 ▁xi 1 3 tu 3 ▁ndi '3 i 3 ▁ba 3= na 2 ▁xa '1 a 4 ▁i 3 tun 4,","Ya1ñu3u2 e4kan4ndi4na4tu2ku'1u1ba42ndi4sa3kan4ndi4,ya1kan3,a1chi1febrerumarzoka1a3ndi4ja1,ja1xi13tu3ndi'3i3ba3 na2xa'1a4i3tun4,","▁ Y a 1 ▁ ñ u 3 u 2 = e 4 ▁ k a n 4 ▁ n d i 4 ▁ n a 4 t u 2 ▁ k u ' 1 u 1 ▁ b a 4 2 ▁ n d i 4 ▁ s a 3 k a n 4 ▁ n d i 4 , ▁ y a 1 k a n 3 , ▁ a 1 c h i 1 ▁ f e b r e r u ▁ m a r z o ▁ k a 1 a 3 ▁ n d i 4 ▁ j a 1 , ▁ j a 1 ▁ x i 1 3 t u 3 ▁ n d i ' 3 i 3 ▁ b a 3 = n a 2 ▁ x a ' 1 a 4 ▁ i 3 t u n 4 ,"
ji13tu3 ndi'3i3=na2 xa'1a4 i3tun4 kan4 ka'3nda2=na1=run4 ji'4in4 ya4cha2 sa4-ndu'1u4=na2=run4 tan3 sa4-kwa3chi3=na2 nda'3a4=run4 ta3ba4=na2=run4 tan3,▁ji 13 tu 3 ▁ndi '3 i 3= na 2 ▁xa '1 a 4 ▁i 3 tun 4 ▁kan 4 ▁ka '3 nda 2= na 1= run 4 ▁ji '4 in 4 ▁ya 4 cha 2 ▁sa 4- ndu '1 u 4= na 2= run 4 ▁tan 3 ▁sa 4- kwa 3 chi 3= na 2 ▁nda '3 a 4= run 4 ▁ta 3 ba 4= na 2= run 4 ▁tan 3,▁ji 1 3 tu 3 ▁ndi '3 i 3= na 2 ▁xa '1 a 4 ▁i 3 tun 4 ▁kan 4 ▁ka '3 nda 2= na 1= run 4 ▁ji '4 in 4 ▁ya 4 cha 2 ▁sa 4- ndu '1 u 4= na 2= run 4 ▁tan 3 ▁sa 4- kwa 3 chi 3= na 2 ▁nda '3 a 4= run 4 ▁ta 3 ba 4= na 2= run 4 ▁tan 3,ji13tu3ndi'3i3 na2xa'1a4i3tun4kan4ka'3nda2 na1 run4ji'4in4ya4cha2sa4ndu'1u4 na2 run4tan3sa4kwa3chi3 na2nda'3a4 run4ta3ba4 na2 run4tan3,▁ j i 1 3 t u 3 ▁ n d i ' 3 i 3 = n a 2 ▁ x a ' 1 a 4 ▁ i 3 t u n 4 ▁ k a n 4 ▁ k a ' 3 n d a 2 = n a 1 = r u n 4 ▁ j i ' 4 i n 4 ▁ y a 4 c h a 2 ▁ s a 4 - n d u ' 1 u 4 = n a 2 = r u n 4 ▁ t a n 3 ▁ s a 4 - k w a 3 c h i 3 = n a 2 ▁ n d a ' 3 a 4 = r u n 4 ▁ t a 3 b a 4 = n a 2 = r u n 4 ▁ t a n 3
